date;user_id;route_id;grade;attempts;success;session_duration_min;is_attempts_null;is_duration_null;is_duration_outlier;attempts_imp;session_duration_imp;day;year;month_num;month_name;week_num;weekday_num;weekday_name
2025-02-17;90;3;5c;4,00;0;98,43;False;False;False;4,00;98,43;2025-02-17;2025;2;Feb;8;1;Monday
2025-01-15;90;9;7a;4,00;1;98,95;False;False;False;4,00;98,95;2025-01-15;2025;1;Jan;3;3;Wednesday
2025-01-08;48;13;6b;5,00;0;65,72;False;False;False;5,00;65,72;2025-01-08;2025;1;Jan;2;3;Wednesday
2025-01-14;85;18;5a;5,00;1;128,88;False;False;False;5,00;128,88;2025-01-14;2025;1;Jan;3;2;Tuesday
2025-01-23;39;15;5c;5,00;1;57,54;False;False;False;5,00;57,54;2025-01-23;2025;1;Jan;4;4;Thursday
2025-03-01;100;4;7a;3,00;0;105,91;False;False;False;3,00;105,91;2025-03-01;2025;3;Mar;9;6;Saturday
2025-02-26;33;15;6a;4,00;1;102,37;False;False;False;4,00;102,37;2025-02-26;2025;2;Feb;9;3;Wednesday
2025-02-09;94;22;7a;3,00;0;80,46;False;False;False;3,00;80,46;2025-02-09;2025;2;Feb;6;7;Sunday
2025-01-21;23;2;7b;1,00;0;103,33;False;False;False;1,00;103,33;2025-01-21;2025;1;Jan;4;2;Tuesday
2025-01-16;10;15;5a;5,00;1;83,65;False;False;False;5,00;83,65;2025-01-16;2025;1;Jan;3;4;Thursday
2025-02-14;69;8;5c;3,00;1;76,49;False;False;False;3,00;76,49;2025-02-14;2025;2;Feb;7;5;Friday
2025-01-18;100;8;6a;3,00;1;99,39;False;False;False;3,00;99,39;2025-01-18;2025;1;Jan;3;6;Saturday
2025-02-16;34;17;5a;1,00;1;69,87;False;False;False;1,00;69,87;2025-02-16;2025;2;Feb;7;7;Sunday
2025-02-22;52;12;7a;2,00;0;85,51;False;False;False;2,00;85,51;2025-02-22;2025;2;Feb;8;6;Saturday
2025-01-24;95;19;5a;4,00;0;78,12;False;False;False;4,00;78,12;2025-01-24;2025;1;Jan;4;5;Friday
2025-01-26;10;10;5c;;0;83,28;True;False;False;3,00;83,28;2025-01-26;2025;1;Jan;4;7;Sunday
2025-01-25;19;9;6c;5,00;0;98,65;False;False;False;5,00;98,65;2025-01-25;2025;1;Jan;4;6;Saturday
2025-03-01;58;5;5a;3,00;0;78,11;False;False;False;3,00;78,11;2025-03-01;2025;3;Mar;9;6;Saturday
2025-03-01;96;6;7b;;0;86,15;True;False;False;3,00;86,15;2025-03-01;2025;3;Mar;9;6;Saturday
2025-03-01;1;20;5a;1,00;0;79,94;False;False;False;1,00;79,94;2025-03-01;2025;3;Mar;9;6;Saturday
2025-02-14;69;26;7a;4,00;0;118,88;False;False;False;4,00;118,88;2025-02-14;2025;2;Feb;7;5;Friday
2025-02-10;4;2;7a;;1;96,85;True;False;False;3,00;96,85;2025-02-10;2025;2;Feb;7;1;Monday
2025-01-29;16;27;6a;4,00;1;94,40;False;False;False;4,00;94,40;2025-01-29;2025;1;Jan;5;3;Wednesday
2025-01-15;24;24;7a;3,00;0;103,67;False;False;False;3,00;103,67;2025-01-15;2025;1;Jan;3;3;Wednesday
2025-02-14;80;27;6b;4,00;1;78,12;False;False;False;4,00;78,12;2025-02-14;2025;2;Feb;7;5;Friday
2025-01-01;2;13;5c;1,00;1;107,19;False;False;False;1,00;107,19;2025-01-01;2025;1;Jan;1;3;Wednesday
2025-01-25;92;6;5c;1,00;0;96,92;False;False;False;1,00;96,92;2025-01-25;2025;1;Jan;4;6;Saturday
2025-01-07;32;5;6c;5,00;1;58,78;False;False;False;5,00;58,78;2025-01-07;2025;1;Jan;2;2;Tuesday
2025-01-09;91;25;6c;5,00;1;;False;True;False;5,00;93,00;2025-01-09;2025;1;Jan;2;4;Thursday
2025-01-24;84;1;5c;3,00;1;;False;True;False;3,00;86,08;2025-01-24;2025;1;Jan;4;5;Friday
2025-01-01;24;21;7b;2,00;0;63,58;False;False;False;2,00;63,58;2025-01-01;2025;1;Jan;1;3;Wednesday
2025-02-13;12;22;6c;4,00;1;85,23;False;False;False;4,00;85,23;2025-02-13;2025;2;Feb;7;4;Thursday
2025-01-08;50;21;6a;3,00;0;69,73;False;False;False;3,00;69,73;2025-01-08;2025;1;Jan;2;3;Wednesday
2025-01-24;35;6;7a;;1;88,05;True;False;False;3,00;88,05;2025-01-24;2025;1;Jan;4;5;Friday
2025-01-11;33;6;5c;4,00;1;118,23;False;False;False;4,00;118,23;2025-01-11;2025;1;Jan;2;6;Saturday
2025-02-20;33;23;6c;5,00;1;89,01;False;False;False;5,00;89,01;2025-02-20;2025;2;Feb;8;4;Thursday
2025-01-17;61;16;5c;4,00;1;83,94;False;False;False;4,00;83,94;2025-01-17;2025;1;Jan;3;5;Friday
2025-01-08;51;4;6b;2,00;1;97,76;False;False;False;2,00;97,76;2025-01-08;2025;1;Jan;2;3;Wednesday
2025-02-04;43;30;5a;3,00;0;76,07;False;False;False;3,00;76,07;2025-02-04;2025;2;Feb;6;2;Tuesday
2025-02-04;12;11;7a;4,00;0;106,87;False;False;False;4,00;106,87;2025-02-04;2025;2;Feb;6;2;Tuesday
2025-02-02;67;30;5c;1,00;1;99,90;False;False;False;1,00;99,90;2025-02-02;2025;2;Feb;5;7;Sunday
2025-02-28;65;30;5a;;0;90,78;True;False;False;3,00;90,78;2025-02-28;2025;2;Feb;9;5;Friday
2025-01-05;33;30;6c;4,00;0;93,09;False;False;False;4,00;93,09;2025-01-05;2025;1;Jan;1;7;Sunday
2025-02-11;40;24;5a;4,00;0;130,83;False;False;False;4,00;130,83;2025-02-11;2025;2;Feb;7;2;Tuesday
2025-02-08;74;23;7a;4,00;0;108,85;False;False;False;4,00;108,85;2025-02-08;2025;2;Feb;6;6;Saturday
2025-02-27;43;9;5c;1,00;1;133,99;False;False;False;1,00;133,99;2025-02-27;2025;2;Feb;9;4;Thursday
2025-02-10;44;23;6b;1,00;1;100,64;False;False;False;1,00;100,64;2025-02-10;2025;2;Feb;7;1;Monday
2025-01-28;29;3;7b;4,00;1;60,57;False;False;False;4,00;60,57;2025-01-28;2025;1;Jan;5;2;Tuesday
2025-01-07;13;19;6c;5,00;1;84,76;False;False;False;5,00;84,76;2025-01-07;2025;1;Jan;2;2;Tuesday
2025-01-09;12;8;5c;5,00;1;56,00;False;False;False;5,00;56,00;2025-01-09;2025;1;Jan;2;4;Thursday
2025-01-08;95;5;7a;2,00;0;100,57;False;False;False;2,00;100,57;2025-01-08;2025;1;Jan;2;3;Wednesday
2025-01-12;46;4;6c;;1;104,91;True;False;False;3,50;104,91;2025-01-12;2025;1;Jan;2;7;Sunday
2025-02-03;2;24;6a;5,00;0;72,28;False;False;False;5,00;72,28;2025-02-03;2025;2;Feb;6;1;Monday
2025-02-02;35;6;5a;1,00;1;;False;True;False;1,00;90,94;2025-02-02;2025;2;Feb;5;7;Sunday
2025-02-17;87;2;7b;5,00;1;92,98;False;False;False;5,00;92,98;2025-02-17;2025;2;Feb;8;1;Monday
2025-02-24;81;20;7a;2,00;0;66,04;False;False;False;2,00;66,04;2025-02-24;2025;2;Feb;9;1;Monday
2025-01-23;90;28;6a;2,00;1;64,54;False;False;False;2,00;64,54;2025-01-23;2025;1;Jan;4;4;Thursday
2025-01-24;8;11;5c;3,00;1;114,77;False;False;False;3,00;114,77;2025-01-24;2025;1;Jan;4;5;Friday
2025-02-06;93;4;6b;5,00;1;92,29;False;False;False;5,00;92,29;2025-02-06;2025;2;Feb;6;4;Thursday
2025-02-04;26;15;6c;;0;78,84;True;False;False;3,50;78,84;2025-02-04;2025;2;Feb;6;2;Tuesday
2025-02-13;74;6;5a;1,00;1;56,16;False;False;False;1,00;56,16;2025-02-13;2025;2;Feb;7;4;Thursday
2025-02-09;90;22;6c;4,00;1;107,05;False;False;False;4,00;107,05;2025-02-09;2025;2;Feb;6;7;Sunday
2025-01-22;34;17;7b;1,00;0;;False;True;False;1,00;91,62;2025-01-22;2025;1;Jan;4;3;Wednesday
2025-01-27;7;30;5c;3,00;0;127,21;False;False;False;3,00;127,21;2025-01-27;2025;1;Jan;5;1;Monday
2025-02-04;68;24;6c;3,00;1;107,19;False;False;False;3,00;107,19;2025-02-04;2025;2;Feb;6;2;Tuesday
2025-01-01;58;6;5a;1,00;0;73,84;False;False;False;1,00;73,84;2025-01-01;2025;1;Jan;1;3;Wednesday
2025-02-04;75;19;5c;1,00;1;75,69;False;False;False;1,00;75,69;2025-02-04;2025;2;Feb;6;2;Tuesday
2025-02-06;29;30;6c;4,00;1;124,44;False;False;False;4,00;124,44;2025-02-06;2025;2;Feb;6;4;Thursday
2025-02-16;36;25;6b;1,00;1;88,31;False;False;False;1,00;88,31;2025-02-16;2025;2;Feb;7;7;Sunday
2025-01-14;89;2;7a;4,00;0;79,73;False;False;False;4,00;79,73;2025-01-14;2025;1;Jan;3;2;Tuesday
2025-01-03;21;15;5c;4,00;1;90,55;False;False;False;4,00;90,55;2025-01-03;2025;1;Jan;1;5;Friday
2025-01-01;36;11;7a;1,00;0;79,64;False;False;False;1,00;79,64;2025-01-01;2025;1;Jan;1;3;Wednesday
2025-01-05;10;8;5c;2,00;0;;False;True;False;2,00;86,08;2025-01-05;2025;1;Jan;1;7;Sunday
2025-01-26;73;26;6b;2,00;1;88,48;False;False;False;2,00;88,48;2025-01-26;2025;1;Jan;4;7;Sunday
2025-02-24;24;19;7a;4,00;0;107,51;False;False;False;4,00;107,51;2025-02-24;2025;2;Feb;9;1;Monday
2025-01-14;64;13;6a;1,00;0;82,23;False;False;False;1,00;82,23;2025-01-14;2025;1;Jan;3;2;Tuesday
2025-02-08;99;12;5a;2,00;1;72,30;False;False;False;2,00;72,30;2025-02-08;2025;2;Feb;6;6;Saturday
2025-01-27;49;5;6a;1,00;0;83,02;False;False;False;1,00;83,02;2025-01-27;2025;1;Jan;5;1;Monday
2025-01-09;99;6;6c;1,00;0;82,90;False;False;False;1,00;82,90;2025-01-09;2025;1;Jan;2;4;Thursday
2025-01-15;36;26;6b;1,00;1;88,45;False;False;False;1,00;88,45;2025-01-15;2025;1;Jan;3;3;Wednesday
2025-01-15;82;22;6a;5,00;1;102,69;False;False;False;5,00;102,69;2025-01-15;2025;1;Jan;3;3;Wednesday
2025-01-26;96;4;5c;1,00;1;101,60;False;False;False;1,00;101,60;2025-01-26;2025;1;Jan;4;7;Sunday
2025-02-11;24;19;6c;5,00;0;113,99;False;False;False;5,00;113,99;2025-02-11;2025;2;Feb;7;2;Tuesday
2025-03-01;23;20;6c;4,00;1;73,77;False;False;False;4,00;73,77;2025-03-01;2025;3;Mar;9;6;Saturday
2025-01-13;62;1;6a;2,00;0;97,77;False;False;False;2,00;97,77;2025-01-13;2025;1;Jan;3;1;Monday
2025-02-20;96;20;6a;2,00;0;;False;True;False;2,00;90,90;2025-02-20;2025;2;Feb;8;4;Thursday
2025-02-01;37;17;6b;2,00;1;76,52;False;False;False;2,00;76,52;2025-02-01;2025;2;Feb;5;6;Saturday
2025-02-08;12;12;5a;2,00;0;85,85;False;False;False;2,00;85,85;2025-02-08;2025;2;Feb;6;6;Saturday
2025-02-18;55;15;6a;2,00;0;55,00;False;False;False;2,00;55,00;2025-02-18;2025;2;Feb;8;2;Tuesday
2025-02-21;13;1;7b;2,00;1;108,14;False;False;False;2,00;108,14;2025-02-21;2025;2;Feb;8;5;Friday
2025-02-01;23;26;6a;2,00;1;85,69;False;False;False;2,00;85,69;2025-02-01;2025;2;Feb;5;6;Saturday
2025-01-04;89;14;7a;4,00;1;106,13;False;False;False;4,00;106,13;2025-01-04;2025;1;Jan;1;6;Saturday
2025-01-30;99;6;5c;1,00;0;94,12;False;False;False;1,00;94,12;2025-01-30;2025;1;Jan;5;4;Thursday
2025-02-06;30;5;7b;3,00;0;86,30;False;False;False;3,00;86,30;2025-02-06;2025;2;Feb;6;4;Thursday
2025-01-23;17;30;7b;5,00;0;58,14;False;False;False;5,00;58,14;2025-01-23;2025;1;Jan;4;4;Thursday
2025-02-08;62;11;7a;3,00;0;61,70;False;False;False;3,00;61,70;2025-02-08;2025;2;Feb;6;6;Saturday
2025-02-14;84;4;7a;3,00;1;38,14;False;False;True;3,00;38,14;2025-02-14;2025;2;Feb;7;5;Friday
2025-01-15;89;13;6c;1,00;1;78,75;False;False;False;1,00;78,75;2025-01-15;2025;1;Jan;3;3;Wednesday
2025-02-12;86;11;5a;1,00;1;135,56;False;False;False;1,00;135,56;2025-02-12;2025;2;Feb;7;3;Wednesday
2025-01-29;13;3;5c;1,00;1;64,24;False;False;False;1,00;64,24;2025-01-29;2025;1;Jan;5;3;Wednesday
2025-02-05;59;1;6b;2,00;1;37,37;False;False;True;2,00;37,37;2025-02-05;2025;2;Feb;6;3;Wednesday
2025-01-13;19;6;7b;4,00;1;109,25;False;False;False;4,00;109,25;2025-01-13;2025;1;Jan;3;1;Monday
2025-02-01;49;18;6b;2,00;0;137,27;False;False;False;2,00;137,27;2025-02-01;2025;2;Feb;5;6;Saturday
2025-01-07;100;24;6a;4,00;1;95,96;False;False;False;4,00;95,96;2025-01-07;2025;1;Jan;2;2;Tuesday
2025-02-28;12;10;6a;4,00;1;95,77;False;False;False;4,00;95,77;2025-02-28;2025;2;Feb;9;5;Friday
2025-02-20;61;5;6b;3,00;0;83,80;False;False;False;3,00;83,80;2025-02-20;2025;2;Feb;8;4;Thursday
2025-01-22;19;23;6a;3,00;0;54,11;False;False;False;3,00;54,11;2025-01-22;2025;1;Jan;4;3;Wednesday
2025-01-28;76;10;5a;4,00;1;60,99;False;False;False;4,00;60,99;2025-01-28;2025;1;Jan;5;2;Tuesday
2025-01-02;9;12;7a;4,00;0;83,66;False;False;False;4,00;83,66;2025-01-02;2025;1;Jan;1;4;Thursday
2025-02-11;71;2;6a;2,00;0;79,83;False;False;False;2,00;79,83;2025-02-11;2025;2;Feb;7;2;Tuesday
2025-02-14;28;13;6c;2,00;1;87,70;False;False;False;2,00;87,70;2025-02-14;2025;2;Feb;7;5;Friday
2025-02-26;78;8;6a;3,00;1;106,59;False;False;False;3,00;106,59;2025-02-26;2025;2;Feb;9;3;Wednesday
2025-02-22;95;2;5c;1,00;1;;False;True;False;1,00;86,08;2025-02-22;2025;2;Feb;8;6;Saturday
2025-01-06;52;20;5a;4,00;1;106,99;False;False;False;4,00;106,99;2025-01-06;2025;1;Jan;2;1;Monday
2025-01-28;83;1;5c;2,00;0;78,49;False;False;False;2,00;78,49;2025-01-28;2025;1;Jan;5;2;Tuesday
2025-01-28;16;5;5c;3,00;1;110,76;False;False;False;3,00;110,76;2025-01-28;2025;1;Jan;5;2;Tuesday
2025-02-13;69;9;6c;2,00;0;91,73;False;False;False;2,00;91,73;2025-02-13;2025;2;Feb;7;4;Thursday
2025-02-13;99;17;5a;4,00;1;81,28;False;False;False;4,00;81,28;2025-02-13;2025;2;Feb;7;4;Thursday
2025-01-20;12;9;5a;4,00;1;91,39;False;False;False;4,00;91,39;2025-01-20;2025;1;Jan;4;1;Monday
2025-01-30;25;11;5a;5,00;0;84,13;False;False;False;5,00;84,13;2025-01-30;2025;1;Jan;5;4;Thursday
2025-01-11;52;15;5a;1,00;0;;False;True;False;1,00;90,94;2025-01-11;2025;1;Jan;2;6;Saturday
2025-02-27;85;24;5a;5,00;0;105,16;False;False;False;5,00;105,16;2025-02-27;2025;2;Feb;9;4;Thursday
